id,fecha_siniestro,tipo_automovil,marca,modelo,lng,lat,day,month
31228,12-02-2011 00:00,Automovil,Toyota,Yaris gl,-66.796886,10.48132115,Saturday,February
31230,15-02-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover automat,-68.56277808,-31.523359600000003,Tuesday,February
31232,15-02-2011 00:00,Automovil,Chevrolet,Optra ii ls nb 1.6 mt ac,-70.8683289,-33.600496899999996,Tuesday,February
31233,15-02-2011 00:00,Todo terreno,Toyota,Rav4 std,-6.151952,36.3157805,Tuesday,February
31234,16-02-2011 00:00,Automovil,Suzuki,Swift 1.3 ga,-58.01747484,-31.38155685,Wednesday,February
31235,10-02-2011 00:00,Automovil,Toyota,Yaris gl,-6.3740567,39.464333700000005,Thursday,February
31237,01-02-2011 00:00,Station wagon,Toyota,Rav4 std,-58.5881007,-34.654164,Tuesday,February
31238,18-02-2011 00:00,Station wagon,Toyota,Rav4 std,-70.5732608,-33.4105551,Friday,February
31239,18-02-2011 00:00,Automovil,Subaru,Legacy 1.8 dl,-70.5863472,-33.43134685,Friday,February
31240,18-02-2011 00:00,Todo terreno,Ssangyong,Actyon xdi 4x2 (ay210),-70.544263,-33.398023800000004,Friday,February
31244,23-02-2011 00:00,Automovil,Peugeot,307 cc 1.6,-70.55132628,-33.40797215,Wednesday,February
31245,23-02-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover automat,-70.5702632,-33.4000364,Wednesday,February
31246,24-02-2011 00:00,Automovil,Toyota,Yaris gl,8.4793205,49.4846906,Thursday,February
31247,14-02-2011 00:00,Station wagon,Ford,Edge se 3.5l aut,-64.2449454,-21.4397594,Monday,February
31249,26-02-2011 00:00,Todo terreno,Ssangyong,Actyon xdi 4x2 (ay210),-17.2796194,28.2145005,Saturday,February
31250,26-02-2011 00:00,Automovil,Chevrolet,Aveo iii hb 5p 1.4 base,-71.5308028,-32.781036300000004,Saturday,February
31252,08-02-2011 00:00,Automovil,Toyota,Yaris gl,-97.8906298,19.2538283,Tuesday,February
31253,27-02-2011 00:00,Automovil,Nissan,V16,-71.9747668,-34.5661066,Sunday,February
31254,26-02-2011 00:00,Automovil,Toyota,Yaris gl,-2.5838381,36.8032635,Saturday,February
31256,26-02-2011 00:00,Automovil,Toyota,Yaris gl,-79.8808033,-2.1904001,Saturday,February
31258,01-03-2011 00:00,Automovil,Kia motors,Rio 1.3 rs,-68.5417603,-27.1092834,Tuesday,March
31259,28-02-2011 00:00,Automovil,Hyundai,Accent 1.3 l,-70.75141353,-33.48327125,Monday,February
31262,02-03-2011 00:00,Todo terreno,Toyota,Rav4 std,-92.0681859,33.62661,Wednesday,March
31264,19-02-2011 00:00,Station wagon,Ford,Edge se 3.5l aut,-3.9252259,39.962476,Saturday,February
31267,04-03-2011 00:00,Todo terreno,Honda,Crv 2.0,-58.6980637,-38.5416662,Friday,March
31268,03-03-2011 00:00,Station wagon,Chevrolet,Vivant ls mc 1.6 16v mtaw,-73.2330833,-39.8188718,Thursday,March
31269,03-03-2011 00:00,Camioneta,Hyundai,Porter,-66.6226728,18.0169098,Thursday,March
31270,05-03-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover automat,-72.9552323,-38.744879600000004,Saturday,March
31271,05-03-2011 00:00,Todo terreno,Hyundai,Santa fe 2.0 gl 2wd crd,-89.3126923,13.4863157,Saturday,March
31273,05-03-2011 00:00,Automovil,Toyota,Yaris gl,-66.99648894,10.6014603,Saturday,March
31277,08-03-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover automat,-70.6588926,-33.5751518,Tuesday,March
31281,07-02-2011 00:00,Camioneta,Toyota,Hilux,-69.9225506,18.4910028,Monday,February
31284,10-03-2011 00:00,Todo terreno,Suzuki,Grand nomade 2.0/glx 4x2,-70.56572151,-33.41269015,Thursday,March
31285,11-03-2011 00:00,Automovil,Toyota,Yaris gl,-70.1491977,19.0487404,Friday,March
31286,10-03-2011 00:00,Furgon,Hyundai,H1 2.4 hsv 7s at sr,-58.99488879,-27.4330744,Thursday,March
31287,12-03-2011 00:00,Automovil,Nissan,Sentra 1.6 dx,-70.5739573,-33.610758000000004,Saturday,March
31290,08-03-2011 00:00,Automovil,Chevrolet,Optra ii ls nb 1.6 mt ac,-70.60210517,-33.45335702,Tuesday,March
31293,12-03-2011 00:00,Automovil,Suzuki,Sx4 1.6 crossover automat,-70.6588926,-33.5751518,Saturday,March
31294,15-03-2011 00:00,Todo terreno,Toyota,Rav4 std,-92.9070609,44.829356,Tuesday,March
31295,17-03-2011 00:00,Station wagon,Toyota,Rav4 std,-107.1510879,34.936825,Thursday,March
31296,17-03-2011 00:00,Todo terreno,Toyota,Rav4 std,-70.4749842,-33.343462,Thursday,March
31299,17-03-2011 00:00,Todo terreno,Suzuki,Grand vitara 1.6 glx ac,-71.6135616,19.4207783,Thursday,March
31301,18-03-2011 00:00,Automovil,Mitsubishi,Colt 1.6 glxi,-70.5623487,-33.4074762,Friday,March
31303,19-03-2011 00:00,Automovil,Chevrolet,Aveo iii hb 5p 1.4 base,-70.5953421,-33.4323148,Saturday,March
31306,20-03-2011 00:00,Automovil,Nissan,Primera,-0.3777286,39.489568799999994,Sunday,March
31308,19-02-2011 00:00,Camioneta,Nissan,Terrano pick up ax dies,-5.1520091,36.429460799999994,Saturday,February
31309,23-03-2011 00:00,Camioneta,Nissan,Navara le 4x2,-65.17924579,-32.38060505,Wednesday,March
31313,26-03-2011 00:00,Automovil,Subaru,New impreza 1.5r 5d awd2a,-1.8589175,42.056000000000004,Saturday,March
31318,29-03-2011 00:00,Todo terreno,Toyota,Rav4 std,-121.9243887,37.3238926,Tuesday,March
31320,28-03-2011 00:00,Camioneta,Nissan,Navara le 4x2,-3.2755181,40.6118497,Monday,March
31321,28-03-2011 00:00,Camioneta,Mitsubishi,L200,-64.1183031,-32.1908352,Monday,March
31323,29-03-2011 00:00,Automovil,Hyundai,Accent 1.3 l,-70.7220302,-33.4731467,Tuesday,March
31324,30-03-2011 00:00,Automovil,Chevrolet,Astra 1.4,-61.49000564,-28.3588901,Wednesday,March
